Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)","Birth rate, crude (per 1,000 people)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",Individuals using the Internet (% of population),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Mortality rate, infant (per 1,000 live births)",People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),"Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Rule of Law: Estimate,"School enrollment, preprimary (% gross)","School enrollment, secondary (% gross)","School enrollment, tertiary (% gross)",Urban population (% of total population),Urban population growth (annual %),"Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
Kyrgyz Republic,77.8,99.88467407,38.365,26.9,18.14366,55.1994,3.3,64.1,71.6,99.59999847,16.3,89.85880809,97.77771402,1.6,2.8,1.3,3.7,-0.895066559,39.90639114,96.36685181,42.32133865,36.591,2.745930809,32.677934,65.31596
Lao PDR,7.9,98.3973465,76.164,22.786,59.18631,30.61838,2.571,47.03225806,68.138,84.7,36.6,85.09983182,78.94809243,4.6,4.7,2.9,7.4,-0.95339942,48.45881653,65.76873016,14.45331192,35.645,3.310059924,77.50333,21.93546
Latvia,100.0,100.0,12.363,9.8,7.293753,68.98719,1.61,86.13545644,75.38780488,99.88931274,3.4,98.73825457,92.41312527,0.5,2.3,0.6,3.6,1.007672429,94.67523956,107.6024628,94.86453247,68.222,-0.57788598,7.4937972,88.41531
Lebanon,100.0,99.95048523,20.896,15.822,3.823768,75.69692,2.13,79.7588832,79.236,95.30000305,7.4,92.6,99.06737938,1.0,2.5,1.0,3.0,-0.834570825,54.26,61.2,26.26,88.758,-2.69379833,29.890898,60.68892
Lesotho,39.6,44.56339645,91.187,26.839,29.83415,35.79121,3.094,42.30173357,54.173,79.4,60.0,72.87737521,48.42792471,4.0,10.4,4.8,17.5,-0.404333413,33.04660797,64.08023834,10.19626045,28.585,2.774465325,52.3859,44.61071
Liberia,0.4,23.1,128.605,32.181,40.71477,51.34789,4.257,23.48259047,61.104,48.3,59.6,74.1609603,20.76197361,8.0,13.0,9.7,15.7,-0.986838162,125.18,37.9,11.92,51.615,2.845409339,77.676716,20.90251
Libya,100.0,68.47289276,7.054,18.732,16.93514,64.58253,2.539,22.0,72.463,91.0,9.9,99.8915238,92.10600221,1.6,2.8,1.3,3.3,-1.747566581,9.82,97.9,60.5,80.393,1.762139685,28.473819,68.56792
Lithuania,100.0,100.0,10.588,9.8,6.436174,67.8641,1.61,81.58186838,76.28292683,99.8,3.1,98.00147289,93.76832523,0.8,2.2,0.7,3.4,1.016596913,88.83183289,108.4455109,72.00897217,67.855,-0.004957782,9.0895559,88.34303
Luxembourg,100.0,100.0,4.306,10.0,0.6816368,88.50644,1.34,97.12063569,82.63902439,100.0,2.3,99.87670462,97.59426285,0.2,1.2,0.2,1.1,1.785245538,91.49434662,104.6953888,18.43000031,91.223,2.228565739,5.4655049,91.26217
Madagascar,1.2,31.04,123.263,31.701,74.18972,15.76753,3.978,11.83136182,65.882,76.67967987,45.3,51.17220614,13.16933715,7.7,10.9,12.7,12.1,-0.996893346,40.14992142,34.59550095,5.350490093,37.861,4.31079477,84.0082,11.51257
Malawi,1.8,11.2,121.406,33.598,62.39201,29.8276,4.072,13.43919985,64.119,62.1,33.0,69.46487563,42.80383781,5.2,7.5,7.7,11.6,-0.338825971,83.58,37.08491135,1.723629951,17.174,4.072457958,60.285059,38.36972
Malaysia,94.9,100.0,9.353,15.58,10.2274,62.27414,1.834,84.18714501,75.76,94.97113037,6.7,97.09036742,95.88023365,1.2,2.6,1.0,3.3,0.515538275,98.06482697,83.74816132,43.06160736,76.607,1.989669393,21.907987,74.424
Maldives,99.3,100.0,8.02,15.001,10.00217,65.12441,1.736,77.46966424,80.116,97.7,6.0,99.52720781,98.26842792,0.9,2.2,0.7,1.6,-0.395875484,85.9586792,81.32687378,34.12194061,40.238,4.041588631,18.687121,77.98035
Mali,0.9,47.85478973,153.834,42.376,65.66985,26.01929,6.103,22.31109004,59.664,35.47377014,64.4,79.27971511,44.79769672,8.7,10.0,13.7,12.0,-0.846366882,6.960790157,41.0272789,4.904735565,43.136,4.951455588,79.91068,19.48547
Malta,100.0,100.0,11.384,8.6,1.011574,79.95738,1.14,85.77859638,82.85853659,94.50318909,5.3,100.0,99.96449882,0.6,1.0,0.3,1.3,0.946133077,111.0367126,108.0291824,64.87290955,94.678,4.001157807,10.8856616,84.30946
Mauritania,47.2,44.94792938,79.489,33.723,30.64142,51.30194,4.521,42.32068274,65.687,53.5,33.8,72.54431314,49.5893945,3.7,6.8,5.0,7.7,-0.590795577,10.49,39.40896988,5.763249874,54.507,4.158421052,52.395252,43.56428
Mauritius,98.8,100.0,24.31,10.2,5.584274,70.47742,1.4,61.72995515,74.23585366,91.3,14.5,99.96219872,95.5,1.0,3.1,0.8,4.8,0.720553696,97.78929138,97.12110138,44.39152908,40.766,-0.034096699,16.651332,80.14405
Mexico,84.6,99.6,58.391,15.71,12.30098,61.96383,1.916,69.63210927,74.202,95.37991333,12.2,99.11535302,90.77655807,1.4,4.3,1.1,7.1,-0.646010876,70.96864319,104.6472397,42.83069992,80.444,1.21892136,27.160677,68.05427
Moldova,97.2,100.0,28.975,12.894,39.38083,45.00512,1.78,57.76048611,70.935,99.4,12.7,90.69568696,82.9898264,1.4,2.9,1.1,4.1,-0.427145123,93.9368515,109.0824127,56.27151108,42.726,-1.373098345,21.82499,77.76472
Mongolia,49.9,98.92325592,31.077,23.292,27.81512,51.3319,2.937,51.07999408,71.822,99.0,13.8,81.4356126,67.79233961,1.9,3.4,1.6,4.3,-0.236219063,86.33180237,91.50335693,64.47367859,68.543,2.283036384,47.056395,51.50948
Montenegro,62.0,99.96228027,10.89,11.6,7.149397,73.43748,1.77,73.47666575,76.68292683,98.84718323,2.3,98.68140384,97.50229936,0.5,1.5,0.4,2.2,0.017466683,74.0009079,90.08804321,54.17481995,67.15,0.471071315,13.338589,79.40891
Morocco,98.2,99.6,27.051,18.337,33.94238,43.69034,2.382,84.12036305,74.27,73.75000763,16.7,84.98185076,86.32823401,1.0,2.2,1.6,3.1,-0.247476295,54.86801147,81.18557739,38.54533005,62.994,1.906108082,46.09864,51.43735
Mozambique,4.9,29.68644333,168.855,37.345,71.2526,20.09363,4.783,14.63855268,61.166,60.7,53.6,57.57536808,33.35031121,6.2,9.5,8.0,21.7,-1.055682063,11.62,30.26515388,7.312550068,36.528,4.375921305,81.98972,15.19845
Myanmar,35.2,68.31150055,33.102,17.663,49.7566,33.60283,2.2,30.63536537,66.61,89.06994629,35.8,78.90933534,73.16531875,2.1,3.3,2.5,5.8,-1.060501575,8.530929565,68.43682098,18.81594086,30.852,1.596808374,62.42219,35.08006
Namibia,46.5,53.27858353,66.943,28.433,22.10058,61.75967,3.404,44.8268148,63.075,91.52726746,30.7,84.83948489,34.96077469,6.6,7.5,6.8,14.6,0.390159935,35.76422119,65.78,26.63595963,51.042,3.687052829,31.722162,61.78185
Nepal,32.9,89.9,66.239,20.868,62.3022,21.8377,2.08,34.80551799,69.558,67.90843201,24.5,90.28636635,72.88012795,2.1,4.6,2.9,5.7,-0.536536455,87.43,80.17991638,13.32682991,20.153,3.206964761,77.09851,21.83202
Netherlands,100.0,100.0,2.553,9.8,2.078814,81.80994,1.57,93.2885906,82.11219512,99.0,3.5,100.0,97.69440785,0.4,1.0,0.3,1.4,1.769281983,89.63168335,115.040657,87.09784698,91.876,1.076084067,12.7773664,83.37799
New Zealand,100.0,100.0,13.616,11.96,5.823697,74.66284,1.72,89.86372003,82.05609756,99.0,4.1,100.0,100.0,0.6,2.0,0.4,2.8,1.876332879,91.65847778,123.1441803,80.30255127,86.615,1.680101108,12.2887441,81.43538
Nicaragua,55.2,85.66197968,88.623,21.305,28.76692,53.35289,2.377,44.91635601,74.054,82.6,12.8,81.61223897,72.96939905,2.1,3.8,1.4,5.7,-1.186471462,70.01638031,73.43,19.56018066,58.76,1.791356345,37.13678,57.29753
Niger,2.5,18.4574337,175.476,45.859,71.31016,21.41546,6.961,16.61190218,62.897,35.04999924,60.2,47.36668482,14.79003828,12.5,10.7,21.6,17.0,-0.541376114,7.392250061,24.25,4.228240013,16.517,4.323992047,94.10616,5.154621
Nigeria,12.8,55.4,102.807,37.849,35.51901,52.2858,5.379,45.03137342,52.91,62.01601028,73.9,74.72412633,43.27675278,7.1,8.4,13.6,10.5,-0.922569573,23.45574951,43.51113892,12.10081959,51.157,4.050189568,77.224,20.73165
North Macedonia,77.2,100.0,15.81,9.6,13.92006,54.95378,1.34,81.41288276,76.60243902,98.0,6.0,97.72562379,97.87917146,0.8,1.4,0.7,1.7,-0.282343388,41.8985405,79.66233063,42.14403915,58.208,0.4447326,17.179739,78.91705
Norway,100.0,100.0,2.397,10.2,2.039814,78.53839,1.53,98.00000439,82.95853659,100.0,1.9,99.9999987,98.05215073,0.4,1.2,0.3,1.9,1.976261616,96.39217377,118.620163,83.23069,82.616,1.121488618,4.7231345,93.58664
Oman,100.0,100.0,11.317,19.298,4.226548,48.72872,2.776,90.25944052,78.002,95.6515274,9.1,91.88826398,99.3200376,1.2,2.7,1.2,3.2,0.54928875,56.08366013,107.0907669,40.44564056,85.443,1.098660271,2.4283931,96.45693
Pakistan,47.6,93.9,43.891,28.276,38.3089,37.3596,3.62,17.07090172,66.756,57.99885941,55.9,90.19065035,65.38993557,3.7,5.6,4.4,6.0,-0.671738863,82.55667114,44.8681488,12.22064018,36.907,2.263115623,54.83538,43.75055
Panama,100.0,93.9,71.789,18.228,14.40703,67.87614,2.375,63.62841477,77.81,95.73607635,12.8,94.18249882,83.37855176,1.7,3.7,1.5,6.0,-0.172175571,62.62023163,78.0,47.8,68.059,2.117860437,36.280468,60.81623
Papua New Guinea,9.3,23.6,57.098,26.37,19.22296,71.65723,3.322,19.97827095,65.474,64.2,36.4,47.07672559,19.14928727,3.7,6.7,4.9,8.4,-0.789312482,45.84540176,46.97378922,1.78,13.25,2.873345696,74.39926,22.85883
Paraguay,68.5,99.7,72.448,21.281,18.72229,63.13524,2.525,68.51762842,73.621,93.21353149,16.6,99.59111402,91.71567413,1.9,4.4,0.9,6.5,-0.552163303,47.55334854,76.0,34.63,61.879,1.812821758,36.968213,56.99352
Peru,82.4,95.55136022,58.808,18.042,25.56845,58.12072,2.242,59.9505036,76.156,94.40827179,11.6,93.00323669,76.70943879,1.3,2.4,1.3,4.3,-0.502912223,105.8195267,108.8338013,70.74,78.099,2.155867974,51.55228,44.54354
Philippines,46.3,95.29047394,49.619,22.254,22.85808,58.02565,2.805,43.02661187,71.865,96.27816772,21.6,93.63735675,81.25102659,2.3,3.8,2.3,5.8,-0.552665591,105.1033936,89.76526642,31.62248993,47.149,2.169771157,33.204635,63.8503
Poland,100.0,100.0,9.856,9.9,9.153646,58.71334,1.44,80.43590688,77.90487805,99.8,3.8,91.81968718,98.95753358,0.6,1.8,0.4,2.9,0.412422895,92.9353714,111.8008423,69.18402863,60.037,-0.059398855,15.981864,79.99141
Portugal,100.0,100.0,7.799,8.4,5.497557,69.82623,1.43,75.34637794,81.67560976,96.1375885,2.8,99.21959411,99.64511658,0.5,1.1,0.4,1.7,1.131764054,94.44496155,120.6212082,67.93070221,65.764,0.868176935,12.0249645,83.14117
Qatar,100.0,100.0,7.549,10.743,1.197101,44.87855,1.834,99.65280421,80.99,93.5,5.2,99.97053342,99.93654587,0.7,2.0,0.8,1.5,0.728758276,60.79088974,105.47,18.9489994,99.188,1.506747953,0.09624,99.56862
Romania,100.0,100.0,37.09,10.3,21.24067,48.6868,1.77,73.65747575,75.60731707,98.84449768,5.8,99.99999968,86.54158301,1.0,2.0,0.8,2.6,0.440403879,93.67552185,88.07028198,51.3538208,54.084,-0.367674303,23.084501,75.77188
Russian Federation,78.5,99.77796936,14.95,10.1,5.833275,67.38214,1.504,82.64216187,73.08390244,99.73005676,4.7,96.79552688,88.70741979,1.1,2.8,0.8,4.8,-0.752920866,85.99315643,103.6027603,86.40014648,74.587,0.157114979,6.6113225,91.97105
Rwanda,3.2,46.6,32.702,30.776,52.67843,31.66836,3.939,21.35801007,66.437,73.21559143,31.2,62.41173597,71.20652487,6.5,4.1,8.4,6.3,0.083647668,27.64426994,44.31903839,6.235390186,17.313,2.9816935,66.11342,33.83766
Samoa,35.3,99.2,45.195,27.895,25.02952,59.08738,4.047,61.21060766,72.157,99.09577179,15.0,96.42283497,96.84425928,1.3,3.4,1.3,4.1,1.162658334,40.49913025,93.26,14.02355003,18.056,0.015682585,29.194893,67.92773
Sao Tome and Principe,3.1,75.12294769,82.123,28.917,18.19343,62.22464,3.964,30.23161545,68.523,92.81664276,13.6,77.33578043,45.12010033,2.0,6.1,1.7,12.6,-0.672224104,50.31,89.34,18.1,73.598,2.614595099,57.57023,40.09234
Saudi Arabia,100.0,99.99,12.034,18.451,3.475679,72.27836,2.504,95.7247356,77.304,97.0,6.3,98.6603423,95.32357599,0.8,4.5,0.9,5.3,0.164395228,21.46446991,111.7947998,70.90087891,84.065,2.547828909,2.0141733,96.23428
Senegal,28.6,70.4,68.488,33.47,22.98974,55.86574,4.517,36.23662727,68.526,51.9,30.9,82.69752948,57.04903418,3.9,6.7,5.0,5.6,-0.191692054,16.91729927,46.23905182,13.1359396,47.653,3.669749732,63.85694,34.32265
Serbia,78.2,99.8,13.807,9.3,15.61212,56.95956,1.52,77.41677362,75.93658537,99.48252869,4.9,94.91235983,97.89702165,0.7,1.5,0.5,2.2,-0.122518986,63.81494141,94.47219086,67.7898407,56.26,-0.237549081,24.336689,72.30051
Sierra Leone,0.7,22.7,106.727,32.549,44.47901,44.51625,4.192,16.8,60.255,43.20632935,82.8,61.92980925,20.09973877,10.1,17.3,15.9,18.4,-0.784437656,19.35091019,41.8,1.96,42.484,3.347745277,87.250295,9.833043
Singapore,100.0,100.0,2.512,8.8,0.4045587,84.88203,1.14,88.94925269,83.59512195,97.47958374,2.0,100.0,100.0,0.4,0.9,0.3,1.2,1.870168209,96.78212738,104.7149582,91.08898926,100.0,1.144283307,9.2001443,86.54051
Slovak Republic,100.0,100.0,26.881,10.5,2.786222,61.1196,1.57,82.8536605,77.66585366,100.0,4.8,99.78781785,97.53184483,0.7,1.8,0.6,2.4,0.523336887,100.0391922,90.80721283,46.42901993,53.729,0.140930441,12.0642524,84.94924
Slovenia,100.0,100.0,4.458,9.3,4.284414,61.61145,1.61,83.1083578,81.52926829,99.7,1.9,99.5,98.4178934,0.4,1.2,0.3,1.7,1.111910462,93.00836182,113.0262222,77.88276672,54.822,1.210111177,10.079903,86.33234
Solomon Islands,8.9,69.39516449,61.363,30.762,38.71067,50.83867,4.104,28.19552918,70.382,84.0,17.1,67.15380217,34.4924126,2.0,4.3,2.3,5.5,-0.09686444,93.26647949,48.32,1.3,24.21,4.282783763,61.63673,37.36331
Somalia,3.1,49.2,121.126,44.564,26.88612,56.00586,6.531,2.0,57.078,38.0,74.9,54.93440825,38.23090616,9.7,17.6,16.7,24.8,-2.370185375,0.899085462,5.93,2.46,45.554,4.921220362,87.89966,11.02114
South Africa,87.1,85.0,64.982,21.276,16.4066,63.9217,2.475,69.69687508,66.175,95.02297211,27.3,93.38824369,75.37964529,3.1,7.5,2.7,13.1,-0.123172171,17.84147072,102.5566635,23.86655998,66.856,2.047265766,10.6683926,83.66111
South Sudan,0.0,6.773965836,98.79,29.058,62.32307,24.80103,4.619,5.6,55.912,34.52275848,63.8,40.84165539,15.74727768,8.4,15.5,13.7,22.2,-1.988926291,11.59049988,11.01,0.749819994,19.899,1.939679926,89.22922,9.237534
Spain,100.0,100.0,5.941,7.6,4.030812,75.53858,1.23,90.71866533,83.83170732,98.43650055,2.7,99.92583827,99.91935657,0.4,0.8,0.3,1.3,1.019376516,99.62664032,125.9452896,92.88234711,80.565,1.021035078,10.8525439,84.3209
Sri Lanka,30.2,99.76135254,15.957,14.534,25.32719,47.06609,2.019,50.68732735,76.008,92.25296021,6.2,88.39140851,92.48794077,0.9,1.7,0.7,2.5,0.060809005,70.53970337,100.3352203,21.12770081,18.585,1.200113165,39.024433,58.20547
St. Lucia,94.8,100.0,38.493,11.834,10.05726,75.30505,1.424,76.98385013,73.445,90.0,21.7,96.88750593,83.37232161,1.3,3.9,1.7,5.1,0.607307673,72.32901001,89.86512756,15.37464046,18.754,0.794404406,23.8185194,71.37343
St. Vincent and the Grenadines,93.7,100.0,49.592,13.346,10.42673,69.53641,1.838,73.96834305,72.835,96.0,13.4,95.15,87.18,3.2,6.2,1.6,7.9,0.475298375,117.9001236,107.2264099,8.471161842,52.614,0.453886037,21.182428,73.81303
Sudan,58.0,57.57051849,84.673,34.823,40.6868,45.08683,4.617,25.9,65.876,60.6971817,41.0,61.60565353,36.77826076,3.0,10.8,5.2,16.0,-1.161944866,47.39994049,45.86418915,16.92,34.936,3.738689772,47.655926,47.26153
Suriname,93.9,97.93016052,56.966,18.409,7.634594,66.27484,2.394,56.80248377,72.242,94.38327026,16.3,97.54177354,89.24914259,2.0,4.8,1.8,6.5,-0.06324745,94.1855011,82.26363373,12.56,66.095,1.156193605,19.089797,77.26118
Sweden,100.0,100.0,3.432,11.1,1.690581,79.89008,1.71,94.49344341,83.1097561,99.0,2.1,99.71740999,98.89729066,0.4,1.2,0.3,2.2,1.823913097,99.58274841,146.2463226,77.32910919,87.708,1.330044339,6.2222826,90.1579
Switzerland,100.0,100.0,2.185,10.0,2.592748,77.06521,1.48,93.14608695,83.90487805,99.0,3.5,99.99999872,99.8998724,0.4,1.1,0.3,1.5,1.898181319,102.6939621,102.3407822,63.30805969,73.849,0.783765812,8.808509,85.62613
Syrian Arab Republic,96.9,89.23056793,38.818,18.883,13.0646,65.63461,2.835,34.65,71.822,86.4,18.8,93.87294349,93.95593183,2.2,4.9,2.5,8.9,-2.074671745,5.55,52.53,43.04687881,54.821,5.088914985,37.986992,59.8437
Tajikistan,83.3,99.4458847,47.841,28.267,43.57244,37.29857,3.281,21.96,70.867,99.8,29.4,81.81511097,96.77256026,1.1,1.7,1.1,2.5,-1.237105608,9.91,88.5,31.26,27.309,2.905309095,24.50335,72.00602
Tanzania,5.6,37.7,126.38,37.113,65.07989,28.04046,4.864,18.27725712,66.989,77.9,35.9,56.56584813,29.09938898,3.8,8.2,9.4,9.8,-0.553331435,40.85691071,30.83176994,3.092499971,34.5,5.142630881,81.20936,15.79936
Thailand,83.1,99.9,33.628,9.377,31.49059,45.62006,1.352,66.65241946,78.975,93.76776123,7.7,99.96483136,98.42052371,2.5,6.1,1.8,6.7,0.110140085,78.60482788,104.9729385,44.85102081,50.692,1.729252359,47.74191,49.71693
Timor-Leste,12.85,90.63248444,35.208,25.511,42.41051,44.00877,3.336,28.00455613,68.268,68.0668335,45.7,82.38411592,55.1898927,4.1,15.7,5.8,16.0,-1.109201193,25.09407997,86.53420258,17.75,30.947,2.662207282,65.98256,33.06628
Togo,9.8,52.46191788,79.621,32.756,31.82534,48.49128,4.385,20.72732716,60.901,66.53707886,45.6,67.81212905,18.34951074,5.1,7.6,7.3,10.3,-0.572418034,24.9799099,61.85,13.67588043,42.248,3.71241467,75.174199,23.2608
Tonga,82.9,98.4,19.502,23.424,31.31847,42.66333,3.315,61.78962999,70.871,99.41436768,10.1,98.70035345,94.52446043,0.8,3.1,1.5,5.5,0.504024446,49.38024902,94.09308624,18.0,23.107,-0.292343691,48.3119,50.6039
Trinidad and Tobago,100.0,100.0,39.109,12.359,3.082895,70.75478,1.643,78.96497802,74.228,99.0,15.5,98.87517077,93.91521101,1.3,5.1,0.9,9.1,-0.149334028,85.03746033,85.51,11.95,53.187,1.013757826,19.0984371,75.59153
Tunisia,99.8,100.0,7.072,17.215,14.29192,52.37864,2.148,66.6999983,75.993,81.8,14.5,96.19409018,96.3765732,1.6,3.1,1.6,4.5,0.110084668,44.62,92.87,31.84726906,69.254,1.416846562,17.656952,76.58533
Turkiye,95.4,100.0,19.29,15.594,18.10844,56.57231,1.967,73.97670229,77.832,96.74221039,8.6,96.86896416,98.69298999,1.1,2.0,0.9,2.3,-0.330669433,37.96580887,104.1150818,115.0420609,75.63,1.454690841,27.07046,68.46202
Turkmenistan,99.9,99.9,23.304,23.055,23.24518,43.38682,2.74,21.25,69.002,99.7,36.9,99.79292325,99.00213593,1.9,4.6,1.9,5.9,-1.394934177,35.0,89.67060852,14.22867012,52.048,2.405489494,27.979606,68.66608
Uganda,0.8,41.3,112.081,37.667,63.51083,27.46441,4.809,6.017815092,62.991,76.52749634,33.2,54.32668724,20.40809045,5.3,13.7,8.4,14.3,-0.328430355,14.41,25.44,5.14,24.361,5.834181652,73.78534,22.15712
Ukraine,95.2,100.0,16.547,8.1,15.10302,60.98722,1.228,70.1248443,71.82731707,99.99,7.3,93.51157783,97.74159919,0.9,2.4,0.8,3.7,-0.724594474,87.50475311,96.0,82.67,69.473,-0.356674336,14.6033284,84.55295
United Arab Emirates,100.0,100.0,3.825,9.75,2.241195,68.91404,1.334,99.14999796,79.726,95.52648163,5.8,100.0,99.09848009,0.8,2.3,0.9,2.8,0.83439666,99.02423859,102.160347,52.60697937,86.789,1.087204403,1.4041781,95.06022
United Kingdom,100.0,100.0,11.342,10.7,1.047265,80.82989,1.63,92.51662855,81.40487805,99.0,3.8,99.99999734,99.10806003,0.4,1.2,0.3,1.9,1.598685265,105.8803787,118.73629,65.77336121,83.652,0.868230887,13.3549202,84.43135
United States,100.0,100.0,16.414,11.4,1.679713,78.70235,1.706,89.43028486,78.78780488,99.0,5.5,99.74463092,99.68443506,0.8,2.6,0.6,4.8,1.453735709,72.21417236,100.0634308,87.88871002,82.459,0.701867775,3.9811492,93.90617
Uruguay,100.0,99.9,38.377,10.822,8.535695,72.59447,1.546,83.35153377,77.508,98.7703476,5.8,99.48723799,97.76780017,0.9,3.5,0.7,5.5,0.629673481,95.90068817,123.0038223,65.15686035,95.426,0.136356775,24.713549,71.4549
Uzbekistan,83.5,99.99899292,17.452,24.3,24.33034,51.14227,2.785,70.39999865,71.344,99.99994659,13.8,95.62743615,95.93921785,1.8,3.5,1.7,3.9,-1.060045958,32.96261978,97.41873932,12.5820303,50.433,1.787284108,34.379192,53.55104
Vanuatu,7.6,64.50218201,65.864,30.4,49.2267,42.83397,3.813,50.73047713,69.877,87.50630951,20.9,90.0654259,48.340869,2.4,4.8,2.8,6.2,0.22112903,105.7692337,51.64,4.74,25.394,2.835422403,66.316288,33.13446
"Venezuela, RB",95.9,99.84477997,85.343,16.888,11.64183,70.55313,2.25,72.0,72.161,97.1,21.1,93.86289557,96.7597096,2.1,11.5,1.5,16.0,-2.253593683,69.52,89.01,79.3,88.24,-2.868724752,37.2522205,60.38234
Vietnam,93.0,99.4,34.703,15.663,34.97985,36.21203,1.948,68.66158021,74.093,95.7538681,16.8,95.98905365,86.6378025,1.7,2.9,1.3,3.5,-0.027242661,95.88878632,58.26,28.63998032,36.628,2.859150286,52.74875,45.12808
West Bank and Gaza,100.0,100.0,45.982,29.466,6.045295,63.58808,3.642,70.6225837,75.241,97.37825775,13.7,97.58650673,98.15310988,1.8,3.2,1.8,3.8,-0.488022923,54.39619064,90.67230988,43.23548126,76.44,2.873518148,22.035817,71.4345
"Yemen, Rep.",61.4,72.77657318,57.83,31.778,29.99571,59.10663,3.963,27.0,65.092,70.1,46.5,59.71657984,53.62693884,2.6,8.9,4.6,14.9,-1.782238603,1.59,51.58,10.15,37.273,4.133612809,49.33779,44.09477
Zambia,11.5,43.0,122.836,35.462,57.37186,33.53595,4.451,16.8,62.793,86.74796295,42.4,66.85339838,35.45946715,4.0,9.1,7.0,12.5,-0.46354416,8.7,19.93,4.12,44.072,4.265728185,75.12742,24.57613
Zimbabwe,30.2,46.68209457,97.354,31.518,62.39797,26.40608,3.599,26.58827407,61.292,86.5,37.1,63.0949538,35.77433581,6.9,9.7,4.9,15.0,-1.292070866,71.71218872,52.41,8.88,32.21,1.99235149,67.463783,32.25314
